metro_info,flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,year_of_bulding,price
"{'Underground name': ['Крестовский остров', 'Чкаловская', 'Василеостровская'], 'Underground time': ['18', '4', '5'], 'Transport type': ['legs', 'car', 'car']}",1,3-комнатная,126.7,54.0,21.2,2,2021,35900000
"{'Underground name': ['Проспект Ветеранов', 'Автово', 'Ленинский проспект'], 'Underground time': ['18', '15', '15'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,33.19,10.3,15.5,2,2026,7850131
"{'Underground name': ['Проспект Ветеранов', 'Ленинский проспект', 'Автово'], 'Underground time': ['12', '12', '14'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,54.4,29.8,9.9,5,2014,12299000
"{'Underground name': ['Елизаровская', 'Ломоносовская', 'Площадь Александра Невского'], 'Underground time': ['6', '5', '6'], 'Transport type': ['legs', 'car', 'car']}",0,3-комнатная,95.6,42.1,22.6,3,2027,26286941
"{'Underground name': ['Ломоносовская', 'Елизаровская', 'Пролетарская'], 'Underground time': ['21', '5', '6'], 'Transport type': ['legs', 'car', 'car']}",1,Студия,24.75,15.9,3.0,13,2023,4600000
"{'Underground name': ['Проспект Просвещения', 'Гражданский проспект', 'Парнас'], 'Underground time': ['5', '7', '7'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,31.3,13.8,7.8,20,2024,7400000
"{'Underground name': ['Василеостровская', 'Спортивная'], 'Underground time': ['4', '6'], 'Transport type': ['car', 'car']}",1,2-комнатная,88.3,48.9,14.5,2,2012,25607000
"{'Underground name': ['Проспект Большевиков', 'Улица Дыбенко', 'Новочеркасская'], 'Underground time': ['8', '20', '8'], 'Transport type': ['legs', 'legs', 'car']}",1,1-комнатная,36.0,18.1,8.0,14,1988,6900000
"{'Underground name': ['Проспект Ветеранов', 'Ленинский проспект', 'Автово'], 'Underground time': ['11', '11', '13'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,30.0,17.0,8.0,1,2020,8250000
"{'Underground name': ['Беговая', 'Комендантский проспект', 'Старая Деревня'], 'Underground time': ['13', '11', '12'], 'Transport type': ['car', 'car', 'car']}",1,3-комнатная,54.9,29.6,17.2,4,2023,10557270
"{'Underground name': ['Удельная', 'Академическая', 'Озерки'], 'Underground time': ['19', '5', '5'], 'Transport type': ['legs', 'car', 'car']}",1,3-комнатная,97.1,47.7,26.9,5,2023,35829900
"{'Underground name': ['Проспект Большевиков', 'Ломоносовская', 'Новочеркасская'], 'Underground time': ['6', '8', '8'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,31.6,14.1,10.1,16,2026,9550073
"{'Underground name': ['Проспект Славы', 'Международная', 'Бухарестская'], 'Underground time': ['14', '15', '6'], 'Transport type': ['legs', 'legs', 'car']}",1,1-комнатная,30.8,15.6,8.4,2,1966,5750000
"{'Underground name': ['Василеостровская', 'Адмиралтейская', 'Спортивная'], 'Underground time': ['18', '7', '5'], 'Transport type': ['legs', 'car', 'car']}",0,2-комнатная,82.45,25.1,27.7,6,2025,39576000
"{'Underground name': ['Приморская', 'Горный институт', 'Василеостровская'], 'Underground time': ['5', 'откроется', '8'], 'Transport type': ['car', 'car', 'car']}",0,3-комнатная,74.4,33.4,21.3,4,2025,23248511
"{'Underground name': ['Звездная', 'Купчино', 'Московская'], 'Underground time': ['4', '5', '5'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,33.34,14.4,10.6,8,2024,9705161
"{'Underground name': ['Василеостровская', 'Горный институт', 'Спортивная'], 'Underground time': ['4', 'откроется', '4'], 'Transport type': ['car', 'legs', 'car']}",0,2-комнатная,59.0,29.6,15.4,7,2026,31329000
"{'Underground name': ['Новочеркасская', 'Площадь Александра Невского', 'Ладожская'], 'Underground time': ['13', '5', '5'], 'Transport type': ['legs', 'car', 'car']}",0,3-комнатная,94.6,40.4,33.3,3,2024,38643463
"{'Underground name': ['Ленинский проспект', 'Проспект Ветеранов', 'Автово'], 'Underground time': ['15', '15', '16'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,62.2,31.0,13.2,6,2016,9500000
"{'Underground name': ['Проспект Большевиков', 'Ладожская', 'Улица Дыбенко'], 'Underground time': ['18', '25', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,1-комнатная,45.8,18.1,10.9,1,2003,8300000
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['15', '6', '7'], 'Transport type': ['car', 'car', 'car']}",0,2-комнатная,51.32,21.0,16.5,20,2024,10002268
"{'Underground name': ['Комендантский проспект', 'Озерки', 'Удельная'], 'Underground time': ['5', '5', '6'], 'Transport type': ['car', 'car', 'car']}",1,3-комнатная,78.4,40.0,30.0,20,2016,21000000
"{'Underground name': ['Ленинский проспект', 'Автово', 'Проспект Ветеранов'], 'Underground time': ['5', '6', '6'], 'Transport type': ['car', 'car', 'car']}",1,Студия,27.3,17.3,5.0,16,2012,6800000
"{'Underground name': ['Ломоносовская', 'Пролетарская', 'Улица Дыбенко'], 'Underground time': ['4', '5', '7'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,45.8,30.0,7.0,3,1963,6300000
"{'Underground name': ['Звездная', 'Купчино', 'Московская'], 'Underground time': ['4', '5', '5'], 'Transport type': ['car', 'car', 'car']}",0,2-комнатная,57.9,27.6,10.8,2,2024,16275370
"{'Underground name': ['Василеостровская', 'Горный институт', 'Спортивная'], 'Underground time': ['4', 'откроется', '4'], 'Transport type': ['car', 'legs', 'car']}",0,1-комнатная,42.61,12.9,18.5,3,2026,21283695
"{'Underground name': ['Ломоносовская', 'Елизаровская', 'Улица Дыбенко'], 'Underground time': ['6', '6', '6'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,33.2,10.2,16.3,2,2026,6261520
"{'Underground name': ['Площадь Ленина', 'Лесная', 'Выборгская'], 'Underground time': ['22', '6', '11'], 'Transport type': ['legs', 'car', 'legs']}",0,3-комнатная,78.91,32.8,20.4,2,2026,28139306
"{'Underground name': ['Крестовский остров', 'Василеостровская', 'Спортивная'], 'Underground time': ['19', '5', '5'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,70.0,37.8,14.4,4,2021,32000000
"{'Underground name': ['Приморская', 'Горный институт', 'Василеостровская'], 'Underground time': ['5', 'откроется', '7'], 'Transport type': ['car', 'car', 'car']}",0,Студия,20.6,9.1,6.1,4,2027,8073181
"{'Underground name': ['Купчино', 'Шушары', 'Московская'], 'Underground time': ['20', '20', '23'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,32.7,10.0,15.3,1,2025,6600200
"{'Underground name': ['Комендантский проспект', 'Пионерская', 'Удельная'], 'Underground time': ['11', '21', '6'], 'Transport type': ['legs', 'legs', 'car']}",1,1-комнатная,38.4,19.9,10.2,12,1987,6600000
"{'Underground name': ['Ломоносовская', 'Елизаровская', 'Улица Дыбенко'], 'Underground time': ['6', '6', '6'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,36.5,13.2,16.4,14,2026,6613800
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['17', '21', '21'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,44.06,13.2,17.0,3,2026,6599300
"{'Underground name': ['Ломоносовская', 'Елизаровская', 'Улица Дыбенко'], 'Underground time': ['6', '6', '6'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,36.0,13.0,16.3,4,2026,6523200
"{'Underground name': ['Ломоносовская', 'Елизаровская', 'Улица Дыбенко'], 'Underground time': ['6', '6', '6'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,35.0,11.1,16.9,24,2026,6538000
"{'Underground name': ['Проспект Просвещения', 'Озерки', 'Парнас'], 'Underground time': ['13', '13', '14'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,44.0,18.7,13.7,6,2019,6700000
"{'Underground name': ['Звездная', 'Шушары', 'Проспект Ветеранов'], 'Underground time': ['14', '15', '16'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,36.56,12.1,12.1,1,2025,6612612
"{'Underground name': ['Комендантский проспект', 'Старая Деревня', 'Беговая'], 'Underground time': ['7', '11', '12'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,32.8,12.5,13.8,5,2022,6590000
"{'Underground name': ['Шушары', 'Рыбацкое', 'Дунайская'], 'Underground time': ['22', '24', '28'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,46.0,28.4,7.1,9,1985,6550000
"{'Underground name': ['Московская', 'Звездная', 'Шушары'], 'Underground time': ['18', '14', '15'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,32.02,10.0,15.3,1,2025,6500100
"{'Underground name': ['Шушары', 'Купчино', 'Дунайская'], 'Underground time': ['16', '16', '21'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,47.9,27.9,9.2,4,2021,6501500
"{'Underground name': ['Автово', 'Кировский завод', 'Ленинский проспект'], 'Underground time': ['6', '6', '6'], 'Transport type': ['car', 'car', 'car']}",0,Студия,25.78,14.4,5.3,3,2025,6550698
"{'Underground name': ['Шушары', 'Дунайская', 'Обухово'], 'Underground time': ['20', '25', '25'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,31.82,17.9,5.6,4,1969,6600000
"{'Underground name': ['Гражданский проспект', 'Девяткино', 'Академическая'], 'Underground time': ['12', '12', '17'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,37.3,24.1,7.2,11,2023,6500000
"{'Underground name': ['Парнас', 'Проспект Просвещения', 'Озерки'], 'Underground time': ['23', '22', '22'], 'Transport type': ['car', 'car', 'car']}",0,Студия,36.0,21.0,7.0,8,2024,6621676
"{'Underground name': ['Звездная', 'Купчино', 'Дунайская'], 'Underground time': ['7', '16', '6'], 'Transport type': ['legs', 'legs', 'car']}",1,1-комнатная,41.0,21.0,10.0,6,1994,6690000
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['17', '21', '21'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,44.57,13.2,17.0,2,2026,6633780
"{'Underground name': ['Пролетарская', 'Ломоносовская', 'Обухово'], 'Underground time': ['7', '4', '5'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,43.8,26.5,7.2,4,1961,6600000
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['15', '6', '7'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,33.24,11.4,15.6,22,2024,6644676
"{'Underground name': ['Удельная', 'Озерки', 'Проспект Просвещения'], 'Underground time': ['10', '3', '6'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,31.0,20.0,6.3,3,1959,6600000
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['18', '24', '24'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,47.79,14.6,19.7,4,2026,6749907
"{'Underground name': ['Приморская', 'Василеостровская', 'Петроградская'], 'Underground time': ['10', '7', '9'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,30.6,17.9,6.0,5,1963,6600000
"{'Underground name': ['Озерки', 'Проспект Просвещения', 'Политехническая'], 'Underground time': ['18', '24', '7'], 'Transport type': ['legs', 'legs', 'car']}",1,1-комнатная,32.6,17.4,7.7,7,1977,6300000
"{'Underground name': ['Купчино', 'Звездная', 'Дунайская'], 'Underground time': ['3', '6', '6'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,37.03,10.0,15.0,2,2025,6437177
"{'Underground name': ['Комендантский проспект', 'Удельная', 'Озерки'], 'Underground time': ['7', '9', '7'], 'Transport type': ['car', 'car', 'car']}",1,Студия,26.9,16.9,5.0,4,2023,5847130
"{'Underground name': ['Звездная', 'Купчино', 'Московская'], 'Underground time': ['6', '8', '9'], 'Transport type': ['car', 'car', 'car']}",1,Студия,26.8,17.5,1.0,23,2015,6400000
"{'Underground name': ['Ломоносовская', 'Елизаровская', 'Улица Дыбенко'], 'Underground time': ['6', '6', '6'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,32.9,10.4,16.5,6,2025,6471430
"{'Underground name': ['Ладожская', 'Площадь Ленина', 'Новочеркасская'], 'Underground time': ['6', '8', '8'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,31.0,16.0,8.2,3,1969,6400000
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['19', '23', '23'], 'Transport type': ['car', 'car', 'car']}",0,2-комнатная,54.16,20.8,17.9,1,2026,6394834
"{'Underground name': ['Елизаровская', 'Улица Дыбенко', 'Ломоносовская'], 'Underground time': ['18', '7', '7'], 'Transport type': ['legs', 'car', 'car']}",0,1-комнатная,35.5,14.5,12.7,14,2026,6375356
"{'Underground name': ['Звездная', 'Московская', 'Купчино'], 'Underground time': ['11', '12', '13'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,35.6,18.0,8.0,1,1996,6500000
"{'Underground name': ['Купчино', 'Звездная', 'Шушары'], 'Underground time': ['8', '9', '11'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,45.7,18.3,12.4,12,2010,6300000
"{'Underground name': ['Звездная', 'Шушары', 'Проспект Ветеранов'], 'Underground time': ['14', '15', '16'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,35.64,12.1,13.1,1,2025,6478720
"{'Underground name': ['Звездная', 'Шушары', 'Проспект Ветеранов'], 'Underground time': ['14', '15', '16'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,35.23,12.1,12.6,1,2025,6364050
"{'Underground name': ['Парнас', 'Проспект Просвещения', 'Озерки'], 'Underground time': ['28', '5', '6'], 'Transport type': ['legs', 'car', 'car']}",1,Студия,21.0,8.2,4.6,8,2024,6419700
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['15', '6', '7'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,32.27,11.3,15.0,24,2024,6399141
"{'Underground name': ['Комендантский проспект', 'Удельная', 'Озерки'], 'Underground time': ['7', '9', '7'], 'Transport type': ['car', 'car', 'car']}",1,Студия,27.8,14.4,5.0,2,2023,5803846
"{'Underground name': ['Проспект Ветеранов', 'Ленинский проспект', 'Автово'], 'Underground time': ['24', '24', '26'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,37.05,11.6,12.1,5,2026,6335550
"{'Underground name': ['Парнас', 'Проспект Просвещения', 'Озерки'], 'Underground time': ['6', '9', '11'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,38.5,9.0,16.0,2,2021,6500000
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['19', '23', '23'], 'Transport type': ['car', 'car', 'car']}",0,2-комнатная,56.68,21.9,18.4,1,2026,6325520
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['15', '6', '7'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,32.27,11.3,15.0,20,2024,6337828
"{'Underground name': ['Шушары', 'Дунайская', 'Обухово'], 'Underground time': ['19', '24', '25'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,50.0,30.0,9.4,8,1975,6500000
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['18', '24', '24'], 'Transport type': ['car', 'car', 'car']}",0,1-комнатная,45.22,13.8,18.5,4,2026,6334101
"{'Underground name': ['Московская', 'Ленинский проспект', 'Звездная'], 'Underground time': ['15', '4', '7'], 'Transport type': ['legs', 'car', 'car']}",1,3-комнатная,42.0,29.0,6.0,4,1962,6350000
"{'Underground name': ['Выборгская', 'Площадь Ленина', 'Лесная'], 'Underground time': ['11', '22', '6'], 'Transport type': ['legs', 'legs', 'car']}",0,2-комнатная,59.2,22.3,21.3,2,2026,21803360
"{'Underground name': ['Комендантский проспект', 'Озерки', 'Пионерская'], 'Underground time': ['6', '10', '10'], 'Transport type': ['car', 'car', 'car']}",1,Студия,24.0,13.0,3.0,6,2019,6000000
"{'Underground name': ['Черная речка', 'Лесная', 'Выборгская'], 'Underground time': ['9', '5', '5'], 'Transport type': ['legs', 'car', 'car']}",0,2-комнатная,71.06,23.0,23.9,2,2025,25389738
"{'Underground name': ['Лесная', 'Черная речка', 'Пионерская'], 'Underground time': ['20', '21', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,3-комнатная,79.72,46.2,13.9,9,2022,20700000
"{'Underground name': ['Шушары', 'Звездная', 'Купчино'], 'Underground time': ['14', '15', '15'], 'Transport type': ['car', 'car', 'car']}",1,Студия,24.7,14.0,4.0,5,2019,3600000
"{'Underground name': ['Балтийская', 'Фрунзенская', 'Технологический институт'], 'Underground time': ['5', '16', '4'], 'Transport type': ['legs', 'legs', 'car']}",0,1-комнатная,34.8,19.8,6.7,2,2025,14538465
"{'Underground name': ['Приморская', 'Василеостровская', 'Крестовский остров'], 'Underground time': ['9', '13', '13'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,38.2,10.0,17.0,11,2023,13580000
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['15', '12', '10'], 'Transport type': ['car', 'car', 'car']}",0,Студия,19.9,9.6,5.0,3,2026,3261610
"{'Underground name': ['Чернышевская', 'Площадь Ленина', 'Гостиный двор'], 'Underground time': ['12', '14', '5'], 'Transport type': ['legs', 'legs', 'car']}",1,1-комнатная,34.0,14.6,9.2,4,1917,15000000
"{'Underground name': ['Новочеркасская', 'Площадь Александра Невского', 'Ладожская'], 'Underground time': ['13', '5', '5'], 'Transport type': ['legs', 'car', 'car']}",0,1-комнатная,27.2,15.2,3.7,6,2024,11518561
"{'Underground name': ['Чкаловская', 'Петроградская', 'Черная речка'], 'Underground time': ['18', '20', '3'], 'Transport type': ['legs', 'legs', 'car']}",0,1-комнатная,45.4,14.2,18.2,2,2027,30444270
"{'Underground name': ['Василеостровская', 'Спортивная', 'Горный институт'], 'Underground time': ['8', '18', 'откроется'], 'Transport type': ['legs', 'legs', 'car']}",0,1-комнатная,39.66,21.8,5.6,5,2024,19863618
"{'Underground name': ['Выборгская', 'Лесная', 'Площадь Ленина'], 'Underground time': ['11', '6', '22'], 'Transport type': ['legs', 'car', 'legs']}",0,1-комнатная,51.68,11.6,17.5,2,2026,20299904
"{'Underground name': ['Московские ворота', 'Электросила', 'Фрунзенская'], 'Underground time': ['4', '15', '23'], 'Transport type': ['legs', 'legs', 'legs']}",1,2-комнатная,60.0,32.0,11.0,4,1917,12450000
"{'Underground name': ['Василеостровская', 'Спортивная', 'Горный институт'], 'Underground time': ['8', '18', 'откроется'], 'Transport type': ['legs', 'legs', 'car']}",0,2-комнатная,61.93,26.3,17.3,5,2024,34244928
"{'Underground name': ['Проспект Просвещения', 'Озерки', 'Политехническая'], 'Underground time': ['5', '5', '6'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,31.7,16.7,7.0,7,1978,5500000
"{'Underground name': ['Приморская', 'Горный институт', 'Василеостровская'], 'Underground time': ['5', 'откроется', '7'], 'Transport type': ['car', 'car', 'car']}",0,2-комнатная,54.1,18.9,17.7,2,2027,16809573
"{'Underground name': ['Удельная', 'Пионерская', 'Озерки'], 'Underground time': ['10', '19', '6'], 'Transport type': ['legs', 'legs', 'car']}",1,1-комнатная,46.7,14.6,20.0,8,2012,15480000
"{'Underground name': ['Ленинский проспект', 'Проспект Ветеранов', 'Автово'], 'Underground time': ['9', '10', '11'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,35.0,19.6,6.0,6,1973,4800000
"{'Underground name': ['Новочеркасская', 'Площадь Александра Невского', 'Ладожская'], 'Underground time': ['13', '5', '5'], 'Transport type': ['legs', 'car', 'car']}",0,2-комнатная,76.5,30.8,25.5,2,2024,23441933
"{'Underground name': ['Василеостровская', 'Спортивная'], 'Underground time': ['3', '9'], 'Transport type': ['legs', 'legs']}",1,3-комнатная,94.1,52.7,12.3,3,1917,17000000
"{'Underground name': ['Чкаловская', 'Спортивная', 'Петроградская'], 'Underground time': ['8', '17', '4'], 'Transport type': ['legs', 'legs', 'car']}",0,1-комнатная,25.73,15.7,5.0,2,2027,15571000
"{'Underground name': ['Балтийская', 'Фрунзенская', 'Технологический институт'], 'Underground time': ['5', '16', '4'], 'Transport type': ['legs', 'legs', 'car']}",0,2-комнатная,53.6,27.6,7.7,7,2025,18950601
"{'Underground name': ['Чернышевская', 'Площадь Восстания', 'Маяковская'], 'Underground time': ['17', '6', '6'], 'Transport type': ['legs', 'car', 'car']}",1,4-комнатная,91.0,56.0,25.0,1,1905,40800000
"{'Underground name': ['Елизаровская', 'Ломоносовская', 'Площадь Александра Невского'], 'Underground time': ['5', '6', '6'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,55.0,34.1,8.1,5,1958,10990000
"{'Underground name': ['Пионерская', 'Комендантский проспект', 'Старая Деревня'], 'Underground time': ['13', '18', '7'], 'Transport type': ['legs', 'legs', 'car']}",1,Студия,18.2,11.7,1.5,1,1974,3499000
"{'Underground name': ['Спортивная', 'Чкаловская', 'Василеостровская'], 'Underground time': ['6', '10', '22'], 'Transport type': ['legs', 'legs', 'legs']}",1,1-комнатная,61.5,35.1,18.6,4,2014,18800000
"{'Underground name': ['Комендантский проспект', 'Старая Деревня', 'Пионерская'], 'Underground time': ['9', '6', '6'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,36.3,18.1,10.8,11,2000,8200000
"{'Underground name': ['Петроградская', 'Горьковская', 'Чернышевская'], 'Underground time': ['8', '5', '9'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,40.4,11.6,17.0,6,2023,24846000
"{'Underground name': ['Пионерская', 'Площадь Мужества', 'Политехническая'], 'Underground time': ['5', '17', '5'], 'Transport type': ['car', 'legs', 'car']}",1,1-комнатная,66.6,15.4,29.3,3,2021,21854124
"{'Underground name': ['Чкаловская', 'Спортивная', 'Петроградская'], 'Underground time': ['8', '17', '4'], 'Transport type': ['legs', 'legs', 'car']}",0,2-комнатная,52.76,23.6,17.5,3,2027,25817127
"{'Underground name': ['Купчино', 'Звездная', 'Московская'], 'Underground time': ['13', '17', '7'], 'Transport type': ['legs', 'legs', 'car']}",1,2-комнатная,53.7,30.2,8.0,14,1979,8750000
"{'Underground name': ['Лесная', 'Черная речка', 'Выборгская'], 'Underground time': ['11', '20', '3'], 'Transport type': ['legs', 'legs', 'car']}",0,2-комнатная,61.4,20.5,15.0,9,2023,18005550
"{'Underground name': ['Купчино', 'Звездная', 'Шушары'], 'Underground time': ['9', '10', '12'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,33.66,9.1,11.1,11,2022,4799000
"{'Underground name': ['Спасская', 'Сенная площадь', 'Адмиралтейская'], 'Underground time': ['15', '16', '19'], 'Transport type': ['legs', 'legs', 'legs']}",1,2-комнатная,71.0,45.5,10.2,3,1860,21950000
"{'Underground name': ['Удельная', 'Академическая', 'Озерки'], 'Underground time': ['22', '5', '5'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,42.0,13.6,13.5,6,2023,18900000
"{'Underground name': ['Крестовский остров', 'Чкаловская', 'Спортивная'], 'Underground time': ['3', '3', '3'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,39.3,14.1,12.7,3,2021,19118473
"{'Underground name': ['Чкаловская', 'Петроградская', 'Черная речка'], 'Underground time': ['18', '20', '3'], 'Transport type': ['legs', 'legs', 'car']}",0,2-комнатная,50.6,26.8,12.3,2,2027,40332865
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['19', '23', '23'], 'Transport type': ['car', 'car', 'car']}",0,Студия,24.49,11.7,3.9,11,2026,3278226
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['17', '21', '22'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,34.68,18.1,6.0,3,1959,3750000
"{'Underground name': ['Академическая'], 'Underground time': ['19'], 'Transport type': ['car']}",0,Студия,19.9,8.9,5.0,4,2025,3341210
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['16', '12', '11'], 'Transport type': ['car', 'car', 'car']}",0,Студия,20.4,9.1,5.0,1,2026,3166080
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['18', '24', '24'], 'Transport type': ['car', 'car', 'car']}",0,Студия,22.86,11.3,3.0,3,2026,3210984
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['15', '11', '10'], 'Transport type': ['car', 'car', 'car']}",0,Студия,19.9,9.2,5.0,13,2020,3293450
"{'Underground name': ['Академическая'], 'Underground time': ['19'], 'Transport type': ['car']}",0,Студия,20.6,9.0,5.0,2,2025,3394880
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['19', '23', '23'], 'Transport type': ['car', 'car', 'car']}",0,Студия,21.33,10.5,3.4,2,2026,3051220
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['18', '24', '24'], 'Transport type': ['car', 'car', 'car']}",0,Студия,26.89,13.6,3.2,11,2026,3451545
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['19', '23', '23'], 'Transport type': ['car', 'car', 'car']}",0,Студия,26.25,12.7,4.2,1,2026,3199484
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['15', '6', '7'], 'Transport type': ['car', 'car', 'car']}",0,Студия,20.32,9.2,5.0,1,2024,3775456
"{'Underground name': ['Девяткино', 'Гражданский проспект', 'Академическая'], 'Underground time': ['10', '11', '16'], 'Transport type': ['car', 'car', 'car']}",1,Студия,18.37,15.0,3.0,14,2023,3190000
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['19', '23', '23'], 'Transport type': ['car', 'car', 'car']}",0,Студия,24.81,12.2,3.4,2,2026,3104616
"{'Underground name': ['Садовая', 'Спасская', 'Сенная площадь'], 'Underground time': ['12', '13', '14'], 'Transport type': ['legs', 'legs', 'legs']}",1,Неизвестно,74.8,14.9,10.5,4,1876,1680000
"{'Underground name': ['Шушары', 'Купчино', 'Дунайская'], 'Underground time': ['16', '16', '21'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,30.8,15.1,10.2,2,2021,3792600
"{'Underground name': ['Академическая'], 'Underground time': ['19'], 'Transport type': ['car']}",0,Студия,21.5,9.1,5.3,16,2025,3708750
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['15', '6', '7'], 'Transport type': ['car', 'car', 'car']}",0,Студия,19.2,7.7,5.0,3,2025,3454080
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['19', '23', '23'], 'Transport type': ['car', 'car', 'car']}",0,Студия,21.83,12.1,3.0,2,2026,3011700
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['15', '6', '7'], 'Transport type': ['car', 'car', 'car']}",0,Студия,22.1,10.9,5.0,3,2025,3637660
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['15', '6', '7'], 'Transport type': ['car', 'car', 'car']}",0,Студия,20.56,10.0,5.0,8,2024,3799488
"{'Underground name': ['Рыбацкое', 'Обухово', 'Пролетарская'], 'Underground time': ['18', '24', '24'], 'Transport type': ['car', 'car', 'car']}",0,Студия,27.68,13.6,3.2,4,2026,3832379
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['15', '6', '7'], 'Transport type': ['car', 'car', 'car']}",0,Студия,20.56,10.0,5.0,8,2024,3758368
