flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,price,metro_station,minutes_to_metro,transfer_type,house_age,is_future_building
1,1-комнатная,38.0,23.0,8.0,3,20000000,Адмиралтейская,15,пешком,125,0
1,3-комнатная,77.4,31.8,27.7,6,20599999,Петроградская,8,пешком,113,0
1,2-комнатная,61.3,32.5,12.2,2,19599000,Электросила,12,пешком,8,0
1,3-комнатная,80.7,57.7,8.4,4,18970000,Горный институт,10,пешком,70,0
1,1-комнатная,46.5,19.7,12.7,8,18200000,Черная речка,12,пешком,10,0
1,2-комнатная,53.26,25.9,18.4,9,20100000,Приморская,9,на машине,0,0
1,3-комнатная,72.9,50.0,15.0,9,18900000,Комендантский проспект,8,на машине,4,0
1,2-комнатная,50.8,25.4,15.1,4,18380000,Горьковская,8,пешком,120,0
1,2-комнатная,68.0,25.0,31.0,17,18990000,Улица Дыбенко,6,на машине,16,0
1,2-комнатная,63.0,31.0,10.4,12,19799999,Приморская,16,пешком,11,0
1,3-комнатная,56.6,35.2,6.0,5,9500000,Электросила,15,пешком,64,0
1,2-комнатная,48.3,30.5,6.3,1,8800000,Проспект Ветеранов,7,пешком,58,0
1,1-комнатная,48.0,18.0,20.0,13,9099000,Приморская,8,на машине,7,0
1,1-комнатная,33.3,15.0,10.5,16,9290000,Комендантский проспект,7,на машине,8,0
1,2-комнатная,43.6,26.4,6.1,4,9500000,Гражданский проспект,5,пешком,54,0
1,1-комнатная,41.0,21.0,10.8,5,8900000,Звездная,12,пешком,21,0
1,1-комнатная,34.83,13.2,14.8,8,9600000,Лесная,25,пешком,2,0
1,4-комнатная,77.5,48.0,6.3,1,9290000,Проспект Ветеранов,8,на машине,52,0
1,1-комнатная,31.23,14.1,10.1,7,9000000,Ленинский проспект,4,на машине,0,0
1,3-комнатная,58.2,41.5,6.9,4,9500000,Василеостровская,13,пешком,108,0
1,2-комнатная,50.3,27.2,10.2,19,9600000,Парнас,20,пешком,5,0
1,2-комнатная,45.6,31.0,9.0,1,9490000,Волковская,4,пешком,75,0
1,1-комнатная,36.4,16.1,10.8,19,8800000,Беговая,17,пешком,13,0
1,3-комнатная,54.6,41.0,5.5,3,8950000,Новочеркасская,24,пешком,62,0
1,1-комнатная,39.6,20.0,12.0,10,9200000,Гражданский проспект,7,пешком,17,0
1,2-комнатная,67.0,40.3,12.0,7,9600000,Комендантский проспект,6,на машине,7,0
1,2-комнатная,54.5,34.0,9.5,2,9300000,Звездная,10,на машине,33,0
1,2-комнатная,49.0,33.0,5.6,4,9500000,Ломоносовская,4,пешком,74,0
1,1-комнатная,39.1,16.1,14.1,11,8650000,Приморская,7,на машине,9,0
1,1-комнатная,35.29,10.8,15.4,21,8650000,Автово,6,на машине,1,0
1,1-комнатная,32.5,17.0,10.0,4,9380000,Комендантский проспект,7,на машине,5,0
1,1-комнатная,42.3,19.3,9.0,11,8700000,Проспект Просвещения,17,пешком,13,0
1,3-комнатная,57.4,39.0,6.2,5,8400000,Ладожская,6,на машине,45,0
1,1-комнатная,31.7,18.0,8.0,4,8199995,Московская,16,пешком,45,0
1,2-комнатная,45.9,30.7,6.4,1,7999999,Академическая,6,на машине,58,0
1,Студия,26.0,18.0,5.0,9,7900000,Приморская,21,пешком,4,0
1,1-комнатная,31.8,15.5,10.4,4,7900000,Комендантский проспект,7,на машине,5,0
1,2-комнатная,50.6,30.6,7.1,6,8250000,Улица Дыбенко,19,пешком,48,0
1,2-комнатная,68.8,32.4,14.8,6,7825000,Звездная,9,на машине,8,0
0,1-комнатная,37.42,14.9,17.5,2,8291523,Ладожская,9,пешком,0,0
